id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1272808108197322757,1272808108197322757,2020-06-16 10:27:55 CEST,2020-06-16,10:27:55,+0200,24744541,lemondefr,Le Monde,,"MSF ferme sa maternité à Kaboul après l’attaque sanglante dont elle a été la cible. Parmi les victimes, 16 mères, dont 5 en plein accouchement, sont tombées sous les balles.  https://t.co/qiAtGd8wow",fr,[],['https://www.lemonde.fr/international/article/2020/06/15/msf-ferme-sa-maternite-a-kaboul-apres-l-attaque-sanglante-dont-elle-a-ete-la-cible_6042954_3210.html?utm_medium=Social&utm_source=Twitter#Echobox=1592295575'],[],37,311,238,[],[],https://twitter.com/lemondefr/status/1272808108197322757,False,,0,,,,,,,,[],,,,
1262823159742500870,1262823159742500870,2020-05-19 21:11:18 CEST,2020-05-19,21:11:18,+0200,24744541,lemondefr,Le Monde,,"A Kaboul, la maternité attaquée a vécu « un pur enfer »  https://t.co/y4R6fI6tg0",fr,[],['https://www.lemonde.fr/international/article/2020/05/19/scenes-d-horreur-a-la-maternite-de-kaboul_6040104_3210.html?utm_term=Autofeed&utm_medium=Social&utm_source=Twitter#Echobox=1589913921'],[],8,63,72,[],[],https://twitter.com/lemondefr/status/1262823159742500870,False,,0,,,,,,,,[],,,,
1261355147592036352,1261355147592036352,2020-05-15 19:57:56 CEST,2020-05-15,19:57:56,+0200,24744541,lemondefr,Le Monde,,« Ils sont venus pour tuer les mères » : des rescapées témoignent de l’attaque meurtrière d’une maternité de Kaboul  https://t.co/ZtOI9UiXRI,fr,[],['https://www.lemonde.fr/international/article/2020/05/15/ils-sont-venus-pour-tuer-les-meres-des-rescapees-temoignent-de-l-attaque-meurtriere-d-une-maternite-de-kaboul_6039826_3210.html?utm_medium=Social&utm_source=Twitter#Echobox=1589563133'],[],8,34,51,[],[],https://twitter.com/lemondefr/status/1261355147592036352,False,,0,,,,,,,,[],,,,
1247472870349037569,1247389489196040193,2020-04-07 12:34:43 CEST,2020-04-07,12:34:43,+0200,24744541,lemondefr,Le Monde,,"Dix nouveaux-nés ont été testés positifs au Covid-19 dans une maternité de Roumanie, à Timisoara. Les bébés sont en bonne santé et ne présentent pas de symptômes.  https://t.co/kIefJVEXT2",fr,[],['https://www.lemonde.fr/planete/live/2020/04/07/coronavirus-en-direct-1-150-morts-supplementaires-en-24-heures-aux-etats-unis_6035782_3244.html?highlight=1187563745'],[],3,46,42,[],[],https://twitter.com/lemondefr/status/1247472870349037569,False,,0,,,,,,,,[],,,,
1246695894025732097,1246695894025732097,2020-04-05 09:07:18 CEST,2020-04-05,09:07:18,+0200,24744541,lemondefr,Le Monde,,"France Télévisions enquête sur une accusation de harcèlement : « J’allais à Stade 2 en pleurant », a confié Clémentine Sarlat, qui explique avoir été marginalisée à son retour de congé maternité, jusqu’à ce qu’elle décide de partir.   https://t.co/x2AULN9zva",fr,[],['https://www.lemonde.fr/actualite-medias/article/2020/04/05/france-televisions-enquete-sur-une-accusation-de-harcelement_6035623_3236.html?utm_medium=Social&utm_source=Twitter#Echobox=1586070441'],[],27,147,214,[],[],https://twitter.com/lemondefr/status/1246695894025732097,False,,0,,,,,,,,[],,,,
1230863717925036033,1230863717925036033,2020-02-21 15:35:53 CET,2020-02-21,15:35:53,+0200,24744541,lemondefr,Le Monde,,"Une pétition conteste le licenciement de Yorgos Loukos, l'ex-patron du Ballet de Lyon, et des artistes menacent de retirer leurs œuvres de l’opéra. L’intéressé n’avait pas réemployé une ballerine de retour de maternité.  https://t.co/y2d5oJH4Go",fr,[],['https://www.lemonde.fr/culture/article/2020/02/21/des-artistes-menacent-de-retirer-leurs-uvres-de-l-opera-de-lyon_6030319_3246.html?utm_medium=Social&utm_source=Twitter#Echobox=1582289898'],[],3,9,35,[],[],https://twitter.com/lemondefr/status/1230863717925036033,False,,0,,,,,,,,[],,,,
1225856538021105665,1225856538021105665,2020-02-07 19:59:08 CET,2020-02-07,19:59:08,+0200,24744541,lemondefr,Le Monde,,Le directeur du ballet de l’Opéra de Lyon licencié pour discrimination pour avoir demandé le non-renouvellement du contrat d’une danseuse qui revenait de congé maternité.  https://t.co/WheOrPpSPv,fr,[],['https://www.lemonde.fr/societe/article/2020/02/07/le-directeur-du-ballet-de-l-opera-de-lyon-licencie-pour-discrimination_6028832_3224.html?utm_medium=Social&utm_source=Twitter#Echobox=1581097416'],[],4,79,215,[],[],https://twitter.com/lemondefr/status/1225856538021105665,False,,0,,,,,,,,[],,,,
1220476443886526464,1220476443886526464,2020-01-23 23:40:34 CET,2020-01-23,23:40:34,+0200,24744541,lemondefr,Le Monde,,L’administration Trump interdit les visas pour le « tourisme de maternité »  https://t.co/S4ojj7urSJ,fr,[],['https://www.lemonde.fr/international/article/2020/01/23/l-administration-trump-interdit-les-visas-pour-le-tourisme-de-maternite_6027025_3210.html?utm_term=Autofeed&utm_medium=Social&utm_source=Twitter#Echobox=1579818917'],[],8,39,67,[],[],https://twitter.com/lemondefr/status/1220476443886526464,False,,0,,,,,,,,[],,,,
1215207150886227968,1215207150886227968,2020-01-09 10:42:16 CET,2020-01-09,10:42:16,+0200,24744541,lemondefr,Le Monde,,"En Espagne, la crise économique, la hausse des loyers et la précarité de l’emploi reportent l’âge de la maternité et retardent le départ des 25-29 ans du nid familial  https://t.co/FjLYP4bkAl",fr,[],['https://www.lemonde.fr/international/article/2020/01/09/en-espagne-moins-de-bebes-plus-de-tanguy_6025242_3210.html?utm_term=Autofeed&utm_medium=Social&utm_source=Twitter#Echobox=1578552852'],[],2,51,75,[],[],https://twitter.com/lemondefr/status/1215207150886227968,False,,0,,,,,,,,[],,,,
1205469852288397312,1205469852288397312,2019-12-13 13:49:43 CET,2019-12-13,13:49:43,+0200,24744541,lemondefr,Le Monde,,"« Notre objectif, c’est d’accoucher les femmes dans des conditions maximales de sécurité. Aujourd’hui, ce n’est pas le cas. » : la maternité du CHU de Nantes saturée  https://t.co/028a4J3kvv",fr,[],['https://www.lemonde.fr/societe/article/2019/12/12/la-maternite-du-chu-de-nantes-saturee_6022624_3224.html?utm_medium=Social&utm_source=Twitter#Echobox=1576179554'],[],9,26,34,[],[],https://twitter.com/lemondefr/status/1205469852288397312,False,,0,,,,,,,,[],,,,
